 @RELATION examen

@ATTRIBUTE pregunta1 string
@ATTRIBUTE pregunta2 string
@ATTRIBUTE pregunta3 string
@ATTRIBUTE pregunta4 string
@ATTRIBUTE pregunta5 string
@ATTRIBUTE pregunta6 string
@ATTRIBUTE tipo {HUM,NUM,LOC}
@ATTRIBUTE subTipo {ind,date,ord,state,other,count,country,city,mount,money,period,volsize,temp,dist,weight,perc,speed,code}

@DATA
 'bay','sparkles', 'bay sparkles' ,'miami','sparkles miami','bay miami' , LOC, other 
 'miles','veins', 'miles veins' ,'circulatory','veins circulatory','miles circulatory' , NUM, count 
 'famed','river', 'famed river' ,'flows','river flows','famed flows' , LOC, other 
 'prime','minister', 'prime minister' ,'japan','minister japan','prime japan' , HUM, ind 
 'player','squats', 'player squats' ,'average','squats average','player average' , HUM, ind 
 'what','is', 'what is' ,'common','is common','what common' , HUM, ind 
 'many','', 'many ' ,'no',' no','many no' , NUM, count 
 'fine','having', 'fine having' ,'dog','having dog','fine dog' , NUM, money 
 'wrote','book', 'wrote book' ,'','book ','wrote ' , HUM, ind 
 'information','religion', 'information religion' ,'health','religion health','information health' , LOC, other 
 'ranger','yogi', 'ranger yogi' ,'bear','yogi bear','ranger bear' , HUM, ind 
 'president','spanish', 'president spanish' ,'government','spanish government','president government' , HUM, ind 
 'holds','career', 'holds career' ,'record','career record','holds record' , HUM, ind 
 'following','actors', 'following actors' ,'worked','actors worked','following worked' , HUM, ind 
 'star','generals', 'star generals' ,'they','generals they','star they' , NUM, count 
 'did','nixon', 'did nixon' ,'die','nixon die','did die' , NUM, date 
 'comedian','hit', 'comedian hit' ,'tv','hit tv','comedian tv' , HUM, ind 
 'members','california', 'members california' ,'congressional','california congressional','members congressional' , NUM, count 
 'erupts','hour', 'erupts hour' ,'yellowstone','hour yellowstone','erupts yellowstone' , LOC, other 
 'country','contains', 'country contains' ,'highest','contains highest','country highest' , LOC, country 
 'arnold','palmer', 'arnold palmer' ,'is','palmer is','arnold is' , HUM, ind 
 'retired','755', 'retired 755' ,'home','755 home','retired home' , HUM, ind 
 'constellation','represents', 'constellation represents' ,'hunter','represents hunter','constellation hunter' , LOC, other 
 'long','did', 'long did' ,'shea','did shea','long shea' , NUM, period 
 'what','is', 'what is' ,'perfect','is perfect','what perfect' , NUM, other 
 'age','did', 'age did' ,'rossini','did rossini','age rossini' , NUM, period 
 'russian','seaport', 'russian seaport' ,'meaning','seaport meaning','russian meaning' , LOC, city 
 'actress','daughters', 'actress daughters' ,'john','daughters john','actress john' , HUM, ind 
 'old','gene', 'old gene' ,'siskel','gene siskel','old siskel' , NUM, period 
 'rocky','mountain', 'rocky mountain' ,'ridge','mountain ridge','rocky ridge' , LOC, mount 
 'actress','bette', 'actress bette' ,'davis','bette davis','actress davis' , HUM, ind 
 'portrayed','cowardly', 'portrayed cowardly' ,'lion','cowardly lion','portrayed lion' , HUM, ind 
 'gate','opened', 'gate opened' ,'east','opened east','gate east' , LOC, other 
 'calories','soy', 'calories soy' ,'sauce','soy sauce','calories sauce' , NUM, count 
 'killed','kurt', 'killed kurt' ,'cobain','kurt cobain','killed cobain' , HUM, ind 
 'created','monster', 'created monster' ,'mary','monster mary','created mary' , HUM, ind 
 'what','is', 'what is' ,'farthest','is farthest','what farthest' , LOC, other 
 'big','galaxy', 'big galaxy' ,'diameter','galaxy diameter','big diameter' , NUM, volsize 
 'son','15-year-old', 'son 15-year-old' ,'mexican','15-year-old mexican','son mexican' , HUM, ind 
 'man','return', 'man return' ,'space','return space','man space' , HUM, ind 
 'gave','abbie', 'gave abbie' ,'hoffman','abbie hoffman','gave hoffman' , HUM, ind 
 '4-foot-9','actress', '4-foot-9 actress' ,'1984','actress 1984','4-foot-9 1984' , HUM, ind 
 'shot','billy', 'shot billy' ,'kid','billy kid','shot kid' , HUM, ind 
 'mormon','leader', 'mormon leader' ,'said','leader said','mormon said' , HUM, ind 
 'what','is', 'what is' ,'hotel','is hotel','what hotel' , LOC, other 
 'did','bush', 'did bush' ,'compare','bush compare','did compare' , HUM, ind 
 'country','mikhail', 'country mikhail' ,'gorbachev','mikhail gorbachev','country gorbachev' , LOC, country 
 'recommended','weight', 'recommended weight' ,'15','weight 15','recommended 15' , NUM, weight 
 'pillar','dutch', 'pillar dutch' ,'renaissance','dutch renaissance','pillar renaissance' , HUM, ind 
 'largest','county', 'largest county' ,'size','county size','largest size' , LOC, other 
 'brilliant','british', 'brilliant british' ,'economist','british economist','brilliant economist' , HUM, ind 
 'played','sally', 'played sally' ,'rogers','sally rogers','played rogers' , HUM, ind 
 'mythical','figure', 'mythical figure' ,'carries','figure carries','mythical carries' , HUM, ind 
 'canadian','1967', 'canadian 1967' ,'dollar','1967 dollar','canadian dollar' , NUM, money 
 'natural','attractions', 'natural attractions' ,'draw','attractions draw','natural draw' , LOC, other 
 'years','did', 'years did' ,'sleeping','did sleeping','years sleeping' , NUM, count 
 'long','does', 'long does' ,'body','does body','long body' , NUM, period 
 'river','runs', 'river runs' ,'liverpool','runs liverpool','river liverpool' , LOC, other 
 'famous','british', 'famous british' ,'actor','british actor','famous actor' , HUM, ind 
 'country','kim', 'country kim' ,'philby','kim philby','country philby' , LOC, country 
 'country','hitler', 'country hitler' ,'chancellor','hitler chancellor','country chancellor' , LOC, country 
 'rona','barrett', 'rona barrett' ,'is','barrett is','rona is' , HUM, ind 
 'years','make', 'years make' ,'lustrum','make lustrum','years lustrum' , NUM, count 
 'mathematician','won', 'mathematician won' ,'noble','won noble','mathematician noble' , HUM, ind 
 'glamorous','actress', 'glamorous actress' ,'close','actress close','glamorous close' , HUM, ind 
 'old','italian', 'old italian' ,'artist','italian artist','old artist' , NUM, period 
 'president','hit', 'president hit' ,'jogging','hit jogging','president jogging' , HUM, ind 
 'north','american', 'north american' ,'city','american city','north city' , LOC, city 
 'i','ask', 'i ask' ,'expert','ask expert','i expert' , LOC, other 
 'writer-journalist','mark', 'writer-journalist mark' ,'describing','mark describing','writer-journalist describing' , HUM, ind 
 'us','state', 'us state' ,'lowest','state lowest','us lowest' , LOC, state 
 'baseball','great', 'baseball great' ,'plugged','great plugged','baseball plugged' , HUM, ind 
 'who','is', 'who is' ,'baby','is baby','who baby' , HUM, ind 
 'mile','high', 'mile high' ,'stadium','high stadium','mile stadium' , LOC, other 
 'city','contains', 'city contains' ,'district','contains district','city district' , LOC, city 
 'english','physician', 'english physician' ,'born','physician born','english born' , HUM, ind 
 'did','arthur', 'did arthur' ,'h','arthur h','did h' , HUM, ind 
 'fast','spacecraft', 'fast spacecraft' ,'travel','spacecraft travel','fast travel' , NUM, speed 
 'apostle','taylor', 'apostle taylor' ,'caldwell','taylor caldwell','apostle caldwell' , HUM, ind 
 'rings','five-zone', 'rings five-zone' ,'archery','five-zone archery','rings archery' , NUM, count 
 'great','lakes', 'great lakes' ,'entirely','lakes entirely','great entirely' , LOC, other 
 'us','state', 'us state' ,'sagebrush','state sagebrush','us sagebrush' , LOC, state 
 'what','is', 'what is' ,'comic','is comic','what comic' , HUM, ind 
 'nationality','pope', 'nationality pope' ,'john','pope john','nationality john' , LOC, country 
 'great','educational', 'great educational' ,'resources','educational resources','great resources' , LOC, other 
 'israeli','athletes', 'israeli athletes' ,'killed','athletes killed','israeli killed' , NUM, count 
 'richard','nixon', 'richard nixon' ,'born','nixon born','richard born' , NUM, date 
 'new','york', 'new york' ,'city','york city','new city' , LOC, other 
 'bulls','basketball', 'bulls basketball' ,'team','basketball team','bulls team' , LOC, other 
 'recomended','age', 'recomended age' ,'switch','age switch','recomended switch' , NUM, period 
 'rockefeller','called', 'rockefeller called' ,'','called ','rockefeller ' , HUM, ind 
 'sun','closest', 'sun closest' ,'earth','closest earth','sun earth' , NUM, date 
 'average','hours', 'average hours' ,'per','hours per','average per' , NUM, count 
 'did','friz', 'did friz' ,'freleng','friz freleng','did freleng' , HUM, ind 
 'shakespeare','is', 'shakespeare is' ,'moorish','is moorish','shakespeare moorish' , HUM, ind 
 'what','is', 'what is' ,'second-highest','is second-highest','what second-highest' , LOC, mount 
 'country','erich', 'country erich' ,'honecker','erich honecker','country honecker' , LOC, country 
 'japanese','cities', 'japanese cities' ,'spelled','cities spelled','japanese spelled' , LOC, city 
 'taught','matt', 'taught matt' ,'murdock','matt murdock','taught murdock' , HUM, ind 
 'did','wile', 'did wile' ,'e','wile e','did e' , LOC, other 
 'far','away', 'far away' ,'moon','away moon','far moon' , NUM, dist 
 'famous','film', 'famous film' ,'tv','film tv','famous tv' , HUM, ind 
 'famously','rode', 'famously rode' ,'warn','rode warn','famously warn' , HUM, ind 
 'commanded','french', 'commanded french' ,'forces','french forces','commanded forces' , HUM, ind 
 'individual','contact', 'individual contact' ,'lens','contact lens','individual lens' , LOC, other 
 'countries','does', 'countries does' ,'mont','does mont','countries mont' , LOC, country 
 'did','amtrak', 'did amtrak' ,'begin','amtrak begin','did begin' , NUM, date 
 'bones','human', 'bones human' ,'hand','human hand','bones hand' , NUM, count 
 'chemical','elements', 'chemical elements' ,'there','elements there','chemical there' , NUM, count 
 'eastern','state', 'eastern state' ,'sprouted','state sprouted','eastern sprouted' , LOC, state 
 'populated','countries', 'populated countries' ,'world','countries world','populated world' , LOC, country 
 'led','opposition', 'led opposition' ,'konrad','opposition konrad','led konrad' , HUM, ind 
 'current','population', 'current population' ,'countries','population countries','current countries' , NUM, count 
 'youngest','age', 'youngest age' ,'boy','age boy','youngest boy' , NUM, period 
 'largest','office', 'largest office' ,'block','office block','largest block' , LOC, other 
 'turned','touched', 'turned touched' ,'gold','touched gold','turned gold' , HUM, ind 
 'plays','shortstop', 'plays shortstop' ,'charlie','shortstop charlie','plays charlie' , HUM, ind 
 'country','did', 'country did' ,'romans','did romans','country romans' , LOC, country 
 'famous','food', 'famous food' ,'editor','food editor','famous editor' , HUM, ind 
 'dogs','pull', 'dogs pull' ,'sled','pull sled','dogs sled' , NUM, count 
 'long','does', 'long does' ,'cocaine','does cocaine','long cocaine' , NUM, period 
 'countries','fought', 'countries fought' ,'years','fought years','countries years' , LOC, country 
 'us','president', 'us president' ,'reinstate','president reinstate','us reinstate' , HUM, ind 
 'dates','does', 'dates does' ,'running','does running','dates running' , NUM, date 
 'lawyer','represented', 'lawyer represented' ,'randy','represented randy','lawyer randy' , HUM, ind 
 'actress','is', 'actress is' ,'autobiography','is autobiography','actress autobiography' , HUM, ind 
 'colors','1940s', 'colors 1940s' ,'collectible','1940s collectible','colors collectible' , NUM, count 
 'lived','shores', 'lived shores' ,'gitchee','shores gitchee','lived gitchee' , HUM, ind 
 'country','hit', 'country hit' ,'year','hit year','country year' , LOC, country 
 'section','manager', 'section manager' ,'guidance','manager guidance','section guidance' , HUM, ind 
 'goldfinger','is', 'goldfinger is' ,'name','is name','goldfinger name' , HUM, ind 
 'square','geographical', 'square geographical' ,'center','geographical center','square center' , LOC, other 
 'following','famous', 'following famous' ,'people','famous people','following people' , HUM, ind 
 'populated','city', 'populated city' ,'world','city world','populated world' , LOC, city 
 'pitchers','occupy', 'pitchers occupy' ,'shelf','occupy shelf','pitchers shelf' , NUM, count 
 'cost','drugs', 'cost drugs' ,'used','drugs used','cost used' , NUM, money 
 'did','victor', 'did victor' ,'hugo','victor hugo','did hugo' , LOC, other 
 'i','tour', 'i tour' ,'new','tour new','i new' , HUM, ind 
 'airline','schools', 'airline schools' ,'us','schools us','airline us' , NUM, count 
 'us','general', 'us general' ,'died','general died','us died' , HUM, ind 
 'major','nazi', 'major nazi' ,'leaders','nazi leaders','major leaders' , NUM, count 
 'state','did', 'state did' ,'helen','did helen','state helen' , LOC, state 
 'director','movie', 'director movie' ,'','movie ','director ' , HUM, ind 
 'year','etched', 'year etched' ,'gold','etched gold','year gold' , NUM, date 
 'country','is', 'country is' ,'royal','is royal','country royal' , LOC, country 
 'portrayed','wc', 'portrayed wc' ,'fields','wc fields','portrayed fields' , HUM, ind 
 'money','does', 'money does' ,'sultan','does sultan','money sultan' , NUM, money 
 'country','visit', 'country visit' ,'ski','visit ski','country ski' , LOC, country 
 'month','is', 'month is' ,'weekend','is weekend','month weekend' , NUM, date 
 'built','successful', 'built successful' ,'stern','successful stern','built stern' , HUM, ind 
 'hitler','is', 'hitler is' ,'minister','is minister','hitler minister' , HUM, ind 
 'doctor','successfully', 'doctor successfully' ,'transplant','successfully transplant','doctor transplant' , HUM, ind 
 'african','capital', 'african capital' ,'named','capital named','african named' , LOC, city 
 'mediterranean','island', 'mediterranean island' ,'home','island home','mediterranean home' , LOC, other 
 'john','d', 'john d' ,'rockefeller','d rockefeller','john rockefeller' , NUM, date 
 'building','built', 'building built' ,'18','built 18','building 18' , LOC, other 
 'lawyer','randy', 'lawyer randy' ,'steven','randy steven','lawyer steven' , HUM, ind 
 'reputed','greatest', 'reputed greatest' ,'maker','greatest maker','reputed maker' , HUM, ind 
 'future','soviet', 'future soviet' ,'dictator','soviet dictator','future dictator' , HUM, ind 
 'long','does', 'long does' ,'james','does james','long james' , NUM, period 
 'us','city', 'us city' ,'is','city is','us is' , LOC, city 
 'sued','dannon', 'sued dannon' ,'yougurt','dannon yougurt','sued yougurt' , HUM, ind 
 'jockey','ride', 'jockey ride' ,'triple','ride triple','jockey triple' , HUM, ind 
 'wrote','brave', 'wrote brave' ,'new','brave new','wrote new' , HUM, ind 
 'state','does', 'state does' ,'charles','does charles','state charles' , LOC, state 
 'people','taller', 'people taller' ,'7','taller 7','people 7' , NUM, count 
 'wrote','unsafe', 'wrote unsafe' ,'speed','unsafe speed','wrote speed' , HUM, ind 
 'islands','make', 'islands make' ,'antigua','make antigua','islands antigua' , NUM, count 
 'us','state', 'us state' ,'boasts','state boasts','us boasts' , LOC, state 
 'british','commander', 'british commander' ,'surrendered','commander surrendered','british surrendered' , HUM, ind 
 'created','world', 'created world' ,'wide','world wide','created wide' , HUM, ind 
 'president','garmat', 'president garmat' ,'usa','garmat usa','president usa' , HUM, ind 
 'leaders','byzantine', 'leaders byzantine' ,'empire','byzantine empire','leaders empire' , HUM, ind 
 'president','appoint', 'president appoint' ,'woman','appoint woman','president woman' , HUM, ind 
 'southeast','asian', 'southeast asian' ,'country','asian country','southeast country' , LOC, country 
 'italian','city', 'italian city' ,'155','city 155','italian 155' , LOC, city 
 'largest','city', 'largest city' ,'chile','city chile','largest chile' , LOC, city 
 'ratio','children', 'ratio children' ,'ages','children ages','ratio ages' , NUM, perc 
 'visitors','vatican', 'visitors vatican' ,'year','vatican year','visitors year' , NUM, count 
 'best','online', 'best online' ,'games','online games','best games' , LOC, other 
 'century','did', 'century did' ,'art','did art','century art' , NUM, date 
 'spaces','follow', 'spaces follow' ,'period','follow period','spaces period' , NUM, count 
 'year','berlin', 'year berlin' ,'wall','berlin wall','year wall' , NUM, date 
 'weight','teaspoon', 'weight teaspoon' ,'matter','teaspoon matter','weight matter' , NUM, weight 
 'approximate','weight', 'approximate weight' ,'teaspoon','weight teaspoon','approximate teaspoon' , NUM, weight 
 'avenue','original', 'avenue original' ,'saks','original saks','avenue saks' , LOC, other 
 'does','song', 'does song' ,'goes','song goes','does goes' , LOC, other 
 'far','yaroslavl', 'far yaroslavl' ,'moscow','yaroslavl moscow','far moscow' , NUM, dist 
 'present','pope', 'present pope' ,'named','pope named','present named' , HUM, ind 
 'nebbish','marvel', 'nebbish marvel' ,'is','marvel is','nebbish is' , HUM, ind 
 'sang','song', 'sang song' ,'','song ','sang ' , HUM, ind 
 'approximately','does', 'approximately does' ,'teaspoon','does teaspoon','approximately teaspoon' , NUM, weight 
 'country','is', 'country is' ,'flag','is flag','country flag' , LOC, country 
 'columbia','pictures', 'columbia pictures' ,'head','pictures head','columbia head' , HUM, ind 
 'dondi','is', 'dondi is' ,'adoptive','is adoptive','dondi adoptive' , HUM, ind 
 'folic','acid', 'folic acid' ,'pregnant','acid pregnant','folic pregnant' , NUM, count 
 'year','automobile', 'year automobile' ,'manufactured','automobile manufactured','year manufactured' , NUM, date 
 'colonies','did', 'colonies did' ,'germany','did germany','colonies germany' , NUM, count 
 'states','a', 'states a' ,'','a ','states ' , NUM, count 
 'biography','maurice', 'biography maurice' ,'zolotow','maurice zolotow','biography zolotow' , HUM, ind 
 'movie','groundshog', 'movie groundshog' ,'day','groundshog day','movie day' , HUM, ind 
 'old','benny', 'old benny' ,'carter','benny carter','old carter' , NUM, period 
 'i','read', 'i read' ,'chiang','read chiang','i chiang' , LOC, other 
 'country','borders', 'country borders' ,'others','borders others','country others' , LOC, country 
 'river','runs', 'river runs' ,'colorado','runs colorado','river colorado' , LOC, other 
 'american','citizen', 'american citizen' ,'awarded','citizen awarded','american awarded' , HUM, ind 
 'doctor','synonymous', 'doctor synonymous' ,'footwear','synonymous footwear','doctor footwear' , HUM, ind 
 'shoe','sizes', 'shoe sizes' ,'o','sizes o','shoe o' , NUM, other 
 'founded','unification', 'founded unification' ,'church','unification church','founded church' , HUM, ind 
 'statistics','drunken', 'statistics drunken' ,'drivers','drunken drivers','statistics drivers' , NUM, other 
 'ill-fated','american', 'ill-fated american' ,'general','american general','ill-fated general' , HUM, ind 
 'what','is', 'what is' ,'score','is score','what score' , NUM, other 
 'does','tuberculosis', 'does tuberculosis' ,'come','tuberculosis come','does come' , LOC, other 
 'i','lyrics', 'i lyrics' ,'r&b','lyrics r&b','i r&b' , LOC, other 
 'us','senator', 'us senator' ,'played','senator played','us played' , HUM, ind 
 'li','l', 'li l' ,'abner','l abner','li abner' , HUM, ind 
 'liberty','bells', 'liberty bells' ,'been','bells been','liberty been' , NUM, count 
 'countries','separated', 'countries separated' ,'bering','separated bering','countries bering' , LOC, country 
 'jackson','pollock', 'jackson pollock' ,'nationality','pollock nationality','jackson nationality' , LOC, country 
 'architect','originated', 'architect originated' ,'glass','originated glass','architect glass' , HUM, ind 
 'russians','landed', 'russians landed' ,'moon','landed moon','russians moon' , NUM, count 
 'franklin','d', 'franklin d' ,'roosevelt','d roosevelt','franklin roosevelt' , NUM, date 
 'internet','i', 'internet i' ,'chemicals','i chemicals','internet chemicals' , LOC, other 
 'country','put', 'country put' ,'second','put second','country second' , LOC, country 
 'shared','new', 'shared new' ,'york','new york','shared york' , HUM, ind 
 'prison','ossining', 'prison ossining' ,'','ossining ','prison ' , LOC, other 
 'country','declared', 'country declared' ,'one-fifth','declared one-fifth','country one-fifth' , LOC, country 
 'director','intergovernmental', 'director intergovernmental' ,'affairs','intergovernmental affairs','director affairs' , HUM, ind 
 'hall','fame', 'hall fame' ,'pitcher','fame pitcher','hall pitcher' , HUM, ind 
 'longest','river', 'longest river' ,'united','river united','longest united' , LOC, other 
 'river','windsor', 'river windsor' ,'castle','windsor castle','river castle' , LOC, other 
 'natchitoches','', 'natchitoches ' ,'louisiana',' louisiana','natchitoches louisiana' , LOC, other 
 'what','is', 'what is' ,'capital','is capital','what capital' , LOC, city 
 'starting','salary', 'starting salary' ,'beginning','salary beginning','starting beginning' , NUM, money 
 'man','is', 'man is' ,'killed','is killed','man killed' , HUM, ind 
 'california','gas', 'california gas' ,'tax','gas tax','california tax' , NUM, money 
 'city','served', 'city served' ,'tempelhol','served tempelhol','city tempelhol' , LOC, city 
 'directed','woody', 'directed woody' ,'woodpecker','woody woodpecker','directed woodpecker' , HUM, ind 
 'historical','figures', 'historical figures' ,'','figures ','historical ' , HUM, ind 
 'united','states', 'united states' ,'people','states people','united people' , LOC, other 
 'country','1998', 'country 1998' ,'suicides','1998 suicides','country suicides' , LOC, country 
 'price','tuberculosis', 'price tuberculosis' ,'drugs','tuberculosis drugs','price drugs' , NUM, money 
 'people','lived', 'people lived' ,'nebraska','lived nebraska','people nebraska' , NUM, count 
 'year','janet', 'year janet' ,'jackson','janet jackson','year jackson' , NUM, date 
 'heroine','in', 'heroine in' ,'','in ','heroine ' , HUM, ind 
 'movies','drew', 'movies drew' ,'barrymore','drew barrymore','movies barrymore' , NUM, count 
 'tv','character', 'tv character' ,'sired','character sired','tv sired' , HUM, ind 
 'planet','ewoks', 'planet ewoks' ,'live','ewoks live','planet live' , LOC, other 
 'baseball','player', 'baseball player' ,'known','player known','baseball known' , HUM, ind 
 'killed','lee', 'killed lee' ,'harvey','lee harvey','killed harvey' , HUM, ind 
 'invented','fax', 'invented fax' ,'machine','fax machine','invented machine' , HUM, ind 
 'wide','atlantic', 'wide atlantic' ,'ocean','atlantic ocean','wide ocean' , NUM, dist 
 'wrote','poem', 'wrote poem' ,'starts','poem starts','wrote starts' , HUM, ind 
 'singer','is', 'singer is' ,'theme','is theme','singer theme' , HUM, ind 
 'soldiers','died', 'soldiers died' ,'world','died world','soldiers world' , NUM, count 
 'rocky','is', 'rocky is' ,'bullwinkle','is bullwinkle','rocky bullwinkle' , HUM, ind 
 'thought','he', 'thought he' ,'had','he had','thought had' , HUM, ind 
 'created','', 'created ' ,'muppets',' muppets','created muppets' , HUM, ind 
 'celestial','body', 'celestial body' ,'diameter','body diameter','celestial diameter' , LOC, other 
 'major','gods', 'major gods' ,'hinduism','gods hinduism','major hinduism' , HUM, ind 
 'country','borders', 'country borders' ,'denmark','borders denmark','country denmark' , LOC, country 
 'biochemists','won', 'biochemists won' ,'nobel','won nobel','biochemists nobel' , HUM, ind 
 'neurons','human', 'neurons human' ,'brain','human brain','neurons brain' , NUM, count 
 'city','is', 'city is' ,'','is ','city ' , LOC, city 
 'city','bobby', 'city bobby' ,'kennedy','bobby kennedy','city kennedy' , LOC, city 
 'london','museum', 'london museum' ,'features','museum features','london features' , LOC, other 
 'city','served', 'city served' ,'mccarren','served mccarren','city mccarren' , LOC, city 
 'considered','role', 'considered role' ,'luke','role luke','considered luke' , HUM, ind 
 'long','does', 'long does' ,'fly','does fly','long fly' , NUM, period 
 'folic','acid', 'folic acid' ,'expectant','acid expectant','folic expectant' , NUM, other 
 'king','signed', 'king signed' ,'magna','signed magna','king magna' , HUM, ind 
 'miles','frankfurt', 'miles frankfurt' ,'','frankfurt ','miles ' , NUM, count 
 'chairs','shown', 'chairs shown' ,'vincent','shown vincent','chairs vincent' , NUM, count 
 'state','gulf', 'state gulf' ,'mexico','gulf mexico','state mexico' , LOC, state 
 'i','case', 'i case' ,'americans','case americans','i americans' , LOC, other 
 'prophet','connected', 'prophet connected' ,'dead','connected dead','prophet dead' , HUM, ind 
 'chances','pregnacy', 'chances pregnacy' ,'penis','pregnacy penis','chances penis' , NUM, perc 
 'apartments','saint', 'apartments saint' ,'john','saint john','apartments john' , LOC, other 
 'wrote','', 'wrote ' ,'pit',' pit','wrote pit' , HUM, ind 
 'country','did', 'country did' ,'mau','did mau','country mau' , LOC, country 
 'good','medical', 'good medical' ,'sites','medical sites','good sites' , LOC, other 
 'incredible','hulk', 'incredible hulk' ,'reality','hulk reality','incredible reality' , HUM, ind 
 'month','did', 'month did' ,'edmund','did edmund','month edmund' , NUM, date 
 'presidents','mexico', 'presidents mexico' ,'indonesia','mexico indonesia','presidents indonesia' , HUM, ind 
 'played','al', 'played al' ,'jolson','al jolson','played jolson' , HUM, ind 
 '196','summer', '196 summer' ,'olympics','summer olympics','196 olympics' , LOC, other 
 'country','honecker', 'country honecker' ,'lived','honecker lived','country lived' , LOC, country 
 'us','state', 'us state' ,'finger','state finger','us finger' , LOC, state 
 'safest','american', 'safest american' ,'cities','american cities','safest cities' , LOC, city 
 'tv','detective', 'tv detective' ,'did','detective did','tv did' , HUM, ind 
 'i','picture', 'i picture' ,'blue','picture blue','i blue' , LOC, other 
 'us','state', 'us state' ,'does','state does','us does' , LOC, state 
 'past','8', 'past 8' ,'years','8 years','past years' , HUM, ind 
 'played','emperor', 'played emperor' ,'palpatine','emperor palpatine','played palpatine' , HUM, ind 
 'what','is', 'what is' ,'wilkes','is wilkes','what wilkes' , LOC, other 
 'statistical','abstract', 'statistical abstract' ,'united','abstract united','statistical united' , LOC, other 
 'brandenburg','gate', 'brandenburg gate' ,'berlin','gate berlin','brandenburg berlin' , NUM, date 
 'husbands','included', 'husbands included' ,'conrad','included conrad','husbands conrad' , HUM, ind 
 'king','alley', 'king alley' ,'oop','alley oop','king oop' , HUM, ind 
 'silver','production', 'silver production' ,'manufactured','production manufactured','silver manufactured' , NUM, count 
 'percentage','silver', 'percentage silver' ,'production','silver production','percentage production' , NUM, perc 
 'date','boxing', 'date boxing' ,'day','boxing day','date day' , NUM, date 
 'inches','tall', 'inches tall' ,'stuart','tall stuart','inches stuart' , NUM, count 
 'stradivarius','violins', 'stradivarius violins' ,'made','violins made','stradivarius made' , NUM, count 
 'invented','stock', 'invented stock' ,'ticker','stock ticker','invented ticker' , HUM, ind 
 'einstein','is', 'einstein is' ,'birthplace','is birthplace','einstein birthplace' , LOC, other 
 'century','is', 'century is' ,'setting','is setting','century setting' , NUM, date 
 'debts','did', 'debts did' ,'qintex','did qintex','debts qintex' , NUM, money 
 'us','president', 'us president' ,'buried','president buried','us buried' , HUM, ind 
 'austerlitz','victor', 'austerlitz victor' ,'hugo','victor hugo','austerlitz hugo' , LOC, other 
 'did','ty', 'did ty' ,'cobb','ty cobb','did cobb' , LOC, other 
 'per-capita','income', 'per-capita income' ,'colombia','income colombia','per-capita colombia' , NUM, money 
 'types','cheese', 'types cheese' ,'france','cheese france','types france' , NUM, count 
 'many','', 'many ' ,'eyes',' eyes','many eyes' , NUM, count 
 'points','disk', 'points disk' ,'center','disk center','points center' , NUM, count 
 'general','direction', 'general direction' ,'does','direction does','general does' , LOC, other 
 'lawyer','represented', 'lawyer represented' ,'randy','represented randy','lawyer randy' , HUM, ind 
 'new','england', 'new england' ,'is','england is','new is' , LOC, mount 
 'black','head', 'black head' ,'coach','head coach','black coach' , HUM, ind 
 'year','did', 'year did' ,'war','did war','year war' , NUM, date 
 'robust','us', 'robust us' ,'president','us president','robust president' , HUM, ind 
 'nation','edessa', 'nation edessa' ,'located','edessa located','nation located' , LOC, country 
 'country','developing', 'country developing' ,'magnetic','developing magnetic','country magnetic' , LOC, country 
 'seven','digits', 'seven digits' ,'follow','digits follow','seven follow' , NUM, code 
 'player','is', 'player is' ,'played','is played','player played' , HUM, ind 
 'largest','dam', 'largest dam' ,'world','dam world','largest world' , LOC, other 
 'held','endurance', 'held endurance' ,'record','endurance record','held record' , HUM, ind 
 'independent','silversmith', 'independent silversmith' ,'is','silversmith is','independent is' , NUM, perc 
 'part','world', 'part world' ,'mozambique','world mozambique','part mozambique' , LOC, other 
 'woody','woodpecker', 'woody woodpecker' ,'is','woodpecker is','woody is' , HUM, ind 
 'created','maudie', 'created maudie' ,'frickett','maudie frickett','created frickett' , HUM, ind 
 'english','circumnavigator', 'english circumnavigator' ,'globe','circumnavigator globe','english globe' , HUM, ind 
 'salary','us', 'salary us' ,'representative','us representative','salary representative' , NUM, money 
 'man-waterways','176', 'man-waterways 176' ,'miles','176 miles','man-waterways miles' , LOC, other 
 'liberated','19th', 'liberated 19th' ,'century','19th century','liberated century' , HUM, ind 
 'river','strasbourg', 'river strasbourg' ,'built','strasbourg built','river built' , LOC, other 
 'what','is', 'what is' ,'maximum','is maximum','what maximum' , NUM, count 
 'country','located', 'country located' ,'13','located 13','country 13' , LOC, country 
 'busiest','ports', 'busiest ports' ,'world','ports world','busiest world' , LOC, other 
 'pig','population', 'pig population' ,'world','population world','pig world' , NUM, count 
 'city','does', 'city does' ,'mccarren','does mccarren','city mccarren' , LOC, city 
 'number','goals', 'number goals' ,'scored','goals scored','number scored' , NUM, count 
 'actor','tattoo', 'actor tattoo' ,'right','tattoo right','actor right' , HUM, ind 
 'dollars','day', 'dollars day' ,'did','day did','dollars did' , NUM, count 
 'appointed','chair', 'appointed chair' ,'federal','chair federal','appointed federal' , HUM, ind 
 'i','up-to-date', 'i up-to-date' ,'coastal','up-to-date coastal','i coastal' , LOC, other 
 'cities','dicken', 'cities dicken' ,'is','dicken is','cities is' , LOC, city 
