 @RELATION examen

@ATTRIBUTE pregunta1 string
@ATTRIBUTE pregunta2 string
@ATTRIBUTE pregunta3 string
@ATTRIBUTE pregunta4 string
@ATTRIBUTE pregunta5 string
@ATTRIBUTE pregunta6 string
@ATTRIBUTE tipo {HUM,NUM,LOC}
@ATTRIBUTE subTipo {ind,date,ord,state,other,count,country,city,mount,money,period,volsize,temp,dist,weight,perc,speed,code}

@DATA 
 'grooves','dime', 'grooves dime' ,'is','dime is','grooves is' ,NUM,count 
 'what','canal', 'what canal' ,'does','canal does','what does' ,LOC,other 
 'what','american', 'what american' ,'won','american won','what won' ,HUM,ind 
 'what','chances', 'what chances' ,'pregnacy','chances pregnacy','what pregnacy' ,NUM,perc 
 'where','i', 'where i' ,'lesson','i lesson','where lesson' ,LOC,other 
 'female','figure', 'female figure' ,'skater','figure skater','female skater' ,HUM,ind 
 'long','a', 'long a' ,'$','a $','long $' ,NUM,period 
 'what','average', 'what average' ,'cost','average cost','what cost' ,NUM,money 
 'spears','kenya', 'spears kenya' ,'is','kenya is','spears is' ,NUM,count 
 'where','did', 'where did' ,'george','did george','where george' ,LOC,other 
 'what','is', 'what is' ,'men','is men','what men' ,NUM,other 
 'what','percentage', 'what percentage' ,'american','percentage american','what american' ,NUM,perc 
 'dialing','', 'dialing ' ,'900',' 900','dialing 900' ,NUM,money 
 'south','korea', 'south korea' ,'','korea ','south ' ,NUM,count 
 'who','portrayed', 'who portrayed' ,'carl','portrayed carl','who carl' ,HUM,ind 
 'what','numbers', 'what numbers' ,'fit','numbers fit','what fit' ,NUM,other 
 'who','tiny', 'who tiny' ,'tim','tiny tim','who tim' ,HUM,ind 
 'who','bonnie', 'who bonnie' ,'blue','bonnie blue','who blue' ,HUM,ind 
 'where','i', 'where i' ,'information','i information','where information' ,LOC,other 
 'latin','american', 'latin american' ,'country','american country','latin country' ,LOC,country 
 'what','residence', 'what residence' ,'scottish','residence scottish','what scottish' ,LOC,other 
 'teats','does', 'teats does' ,'female','does female','teats female' ,NUM,count 
 'who','lawyer', 'who lawyer' ,'who','lawyer who','who who' ,HUM,ind 
 'what','country', 'what country' ,'buys','country buys','what buys' ,LOC,country 
 'what','country', 'what country' ,'origin','country origin','what origin' ,LOC,country 
 'following','celebrities', 'following celebrities' ,'born','celebrities born','following born' ,HUM,ind 
 'what','number', 'what number' ,'american','number american','what american' ,NUM,other 
 'where','biggest', 'where biggest' ,'bell','biggest bell','where bell' ,LOC,other 
 'what','estimated', 'what estimated' ,'total','estimated total','what total' ,NUM,count 
 'who','wrote', 'who wrote' ,'farmer','wrote farmer','who farmer' ,HUM,ind 
 'what','number', 'what number' ,'12','number 12','what 12' ,NUM,other 
 'cnn','owned', 'cnn owned' ,'whom','owned whom','cnn whom' ,HUM,ind 
 'what','country', 'what country' ,'offered','country offered','what offered' ,LOC,country 
 'who','15th', 'who 15th' ,'century','15th century','who century' ,HUM,ind 
 'what','french', 'what french' ,'leader','french leader','what leader' ,HUM,ind 
 'what','bay', 'what bay' ,'sparkles','bay sparkles','what sparkles' ,LOC,other 
 'miles','veins', 'miles veins' ,'circulatory','veins circulatory','miles circulatory' ,NUM,count 
 'what','famed', 'what famed' ,'river','famed river','what river' ,LOC,other 
 'who','prime', 'who prime' ,'minister','prime minister','who minister' ,HUM,ind 
 'what','player', 'what player' ,'squats','player squats','what squats' ,HUM,ind 
 'what','is', 'what is' ,'common','is common','what common' ,HUM,ind 
 'many','', 'many ' ,'no',' no','many no' ,NUM,count 
 'what','fine', 'what fine' ,'having','fine having','what having' ,NUM,money 
 'who','wrote', 'who wrote' ,'book','wrote book','who book' ,HUM,ind 
 'where','information', 'where information' ,'religion','information religion','where religion' ,LOC,other 
 'ranger','who', 'ranger who' ,'yogi','who yogi','ranger yogi' ,HUM,ind 
 'who','president', 'who president' ,'spanish','president spanish','who spanish' ,HUM,ind 
 'who','holds', 'who holds' ,'career','holds career','who career' ,HUM,ind 
 'following','actors', 'following actors' ,'worked','actors worked','following worked' ,HUM,ind 
 'who','invented', 'who invented' ,'stethoscope','invented stethoscope','who stethoscope' ,HUM,ind 
 'star','generals', 'star generals' ,'who','generals who','star who' ,NUM,count 
 'when','did', 'when did' ,'nixon','did nixon','when nixon' ,NUM,date 
 'what','comedian', 'what comedian' ,'hit','comedian hit','what hit' ,HUM,ind 
 'members','california', 'members california' ,'congressional','california congressional','members congressional' ,NUM,count 
 'what','erupts', 'what erupts' ,'hour','erupts hour','what hour' ,LOC,other 
 'what','country', 'what country' ,'contains','country contains','what contains' ,LOC,country 
 'what','arnold', 'what arnold' ,'palmer','arnold palmer','what palmer' ,HUM,ind 
 'who','retired', 'who retired' ,'755','retired 755','who 755' ,HUM,ind 
 'what','constellation', 'what constellation' ,'represents','constellation represents','what represents' ,LOC,other 
 'who','developed', 'who developed' ,'potlatch','developed potlatch','who potlatch' ,HUM,ind 
 'long','did', 'long did' ,'shea','did shea','long shea' ,NUM,period 
 'what','is', 'what is' ,'perfect','is perfect','what perfect' ,NUM,other 
 'what','age', 'what age' ,'did','age did','what did' ,NUM,period 
 'what','russian', 'what russian' ,'seaport','russian seaport','what seaport' ,LOC,city 
 'actress','daughters', 'actress daughters' ,'john','daughters john','actress john' ,HUM,ind 
 'old','gene', 'old gene' ,'siskel','gene siskel','old siskel' ,NUM,period 
 'what','rocky', 'what rocky' ,'mountain','rocky mountain','what mountain' ,LOC,mount 
 'who','actress', 'who actress' ,'bette','actress bette','who bette' ,HUM,ind 
 'who','portrayed', 'who portrayed' ,'cowardly','portrayed cowardly','who cowardly' ,HUM,ind 
 'what','gate', 'what gate' ,'opened','gate opened','what opened' ,LOC,other 
 'who','king', 'who king' ,'england','king england','who england' ,HUM,ind 
 'calories','soy', 'calories soy' ,'sauce','soy sauce','calories sauce' ,NUM,count 
 'who','killed', 'who killed' ,'kurt','killed kurt','who kurt' ,HUM,ind 
 'who','created', 'who created' ,'monster','created monster','who monster' ,HUM,ind 
 'what','is', 'what is' ,'farthest','is farthest','what farthest' ,LOC,other 
 'big','galaxy', 'big galaxy' ,'diameter','galaxy diameter','big diameter' ,NUM,volsize 
 'when','woman', 'when woman' ,'fertile','woman fertile','when fertile' ,NUM,date 
 'what','son', 'what son' ,'15-year-old','son 15-year-old','what 15-year-old' ,HUM,ind 
 'who','man', 'who man' ,'return','man return','who return' ,HUM,ind 
 'who','gave', 'who gave' ,'abbie','gave abbie','who abbie' ,HUM,ind 
 'what','4-foot-9', 'what 4-foot-9' ,'actress','4-foot-9 actress','what actress' ,HUM,ind 
 'who','shot', 'who shot' ,'billy','shot billy','who billy' ,HUM,ind 
 'what','mormon', 'what mormon' ,'leader','mormon leader','what leader' ,HUM,ind 
 'what','is', 'what is' ,'hotel','is hotel','what hotel' ,LOC,other 
 'did','bush', 'did bush' ,'compare','bush compare','did compare' ,HUM,ind 
 'what','country', 'what country' ,'mikhail','country mikhail','what mikhail' ,LOC,country 
 'what','recommended', 'what recommended' ,'weight','recommended weight','what weight' ,NUM,weight 
 'what','pillar', 'what pillar' ,'dutch','pillar dutch','what dutch' ,HUM,ind 
 'what','largest', 'what largest' ,'county','largest county','what county' ,LOC,other 
 'what','brilliant', 'what brilliant' ,'british','brilliant british','what british' ,HUM,ind 
 'who','played', 'who played' ,'sally','played sally','who sally' ,HUM,ind 
 'what','mythical', 'what mythical' ,'figure','mythical figure','what figure' ,HUM,ind 
 'canadian','1967', 'canadian 1967' ,'dollar','1967 dollar','canadian dollar' ,NUM,money 
 'what','natural', 'what natural' ,'attractions','natural attractions','what attractions' ,LOC,other 
 'years','did', 'years did' ,'sleeping','did sleeping','years sleeping' ,NUM,count 
 'long','does', 'long does' ,'body','does body','long body' ,NUM,period 
 'what','river', 'what river' ,'runs','river runs','what runs' ,LOC,other 
 'what','famous', 'what famous' ,'british','famous british','what british' ,HUM,ind 
 'what','country', 'what country' ,'kim','country kim','what kim' ,LOC,country 
 'what','country', 'what country' ,'hitler','country hitler','what hitler' ,LOC,country 
 'what','rona', 'what rona' ,'barrett','rona barrett','what barrett' ,HUM,ind 
 'years','make', 'years make' ,'lustrum','make lustrum','years lustrum' ,NUM,count 
 'who','mathematician', 'who mathematician' ,'won','mathematician won','who won' ,HUM,ind 
 'glamorous','actress', 'glamorous actress' ,'close','actress close','glamorous close' ,HUM,ind 
 'old','italian', 'old italian' ,'artist','italian artist','old artist' ,NUM,period 
 'what','president', 'what president' ,'hit','president hit','what hit' ,HUM,ind 
 'what','north', 'what north' ,'american','north american','what american' ,LOC,city 
 'when','nfl', 'when nfl' ,'established','nfl established','when established' ,NUM,date 
 'where','i', 'where i' ,'ask','i ask','where ask' ,LOC,other 
 'what','writer-journalist', 'what writer-journalist' ,'mark','writer-journalist mark','what mark' ,HUM,ind 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'what','baseball', 'what baseball' ,'great','baseball great','what great' ,HUM,ind 
 'who','is', 'who is' ,'baby','is baby','who baby' ,HUM,ind 
 'where','mile', 'where mile' ,'high','mile high','where high' ,LOC,other 
 'what','city', 'what city' ,'contains','city contains','what contains' ,LOC,city 
 'what','english', 'what english' ,'physician','english physician','what physician' ,HUM,ind 
 'who','did', 'who did' ,'arthur','did arthur','who arthur' ,HUM,ind 
 'fast','spacecraft', 'fast spacecraft' ,'travel','spacecraft travel','fast travel' ,NUM,speed 
 'what','apostle', 'what apostle' ,'taylor','apostle taylor','what taylor' ,HUM,ind 
 'rings','five-zone', 'rings five-zone' ,'archery','five-zone archery','rings archery' ,NUM,count 
 'great','lakes', 'great lakes' ,'entirely','lakes entirely','great entirely' ,LOC,other 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'what','is', 'what is' ,'comic','is comic','what comic' ,HUM,ind 
 'what','nationality', 'what nationality' ,'pope','nationality pope','what pope' ,LOC,country 
 'where','great', 'where great' ,'educational','great educational','where educational' ,LOC,other 
 'israeli','athletes', 'israeli athletes' ,'killed','athletes killed','israeli killed' ,NUM,count 
 'when','richard', 'when richard' ,'nixon','richard nixon','when nixon' ,NUM,date 
 'what','new', 'what new' ,'york','new york','what york' ,LOC,other 
 'where','bulls', 'where bulls' ,'basketball','bulls basketball','where basketball' ,LOC,other 
 'what','recomended', 'what recomended' ,'age','recomended age','what age' ,NUM,period 
 'rockefeller','called', 'rockefeller called' ,'','called ','rockefeller ' ,HUM,ind 
 'when','sun', 'when sun' ,'closest','sun closest','when closest' ,NUM,date 
 'what','average', 'what average' ,'hours','average hours','what hours' ,NUM,count 
 'did','friz', 'did friz' ,'freleng','friz freleng','did freleng' ,HUM,ind 
 'who','shakespeare', 'who shakespeare' ,'is','shakespeare is','who is' ,HUM,ind 
 'what','is', 'what is' ,'second-highest','is second-highest','what second-highest' ,LOC,mount 
 'what','country', 'what country' ,'erich','country erich','what erich' ,LOC,country 
 'what','japanese', 'what japanese' ,'cities','japanese cities','what cities' ,LOC,city 
 'who','taught', 'who taught' ,'matt','taught matt','who matt' ,HUM,ind 
 'where','did', 'where did' ,'wile','did wile','where wile' ,LOC,other 
 'far','away', 'far away' ,'moon','away moon','far moon' ,NUM,dist 
 'what','famous', 'what famous' ,'film','famous film','what film' ,HUM,ind 
 'who','famously', 'who famously' ,'rode','famously rode','who rode' ,HUM,ind 
 'who','commanded', 'who commanded' ,'french','commanded french','who french' ,HUM,ind 
 'where','individual', 'where individual' ,'contact','individual contact','where contact' ,LOC,other 
 'what','countries', 'what countries' ,'does','countries does','what does' ,LOC,country 
 'when','did', 'when did' ,'amtrak','did amtrak','when amtrak' ,NUM,date 
 'bones','human', 'bones human' ,'hand','human hand','bones hand' ,NUM,count 
 'chemical','elements', 'chemical elements' ,'there','elements there','chemical there' ,NUM,count 
 'what','eastern', 'what eastern' ,'state','eastern state','what state' ,LOC,state 
 'what','populated', 'what populated' ,'countries','populated countries','what countries' ,LOC,country 
 'who','led', 'who led' ,'opposition','led opposition','who opposition' ,HUM,ind 
 'what','current', 'what current' ,'population','current population','what population' ,NUM,count 
 'what','youngest', 'what youngest' ,'age','youngest age','what age' ,NUM,period 
 'what','largest', 'what largest' ,'office','largest office','what office' ,LOC,other 
 'who','turned', 'who turned' ,'touched','turned touched','who touched' ,HUM,ind 
 'who','plays', 'who plays' ,'shortstop','plays shortstop','who shortstop' ,HUM,ind 
 'what','country', 'what country' ,'did','country did','what did' ,LOC,country 
 'who','famous', 'who famous' ,'food','famous food','who food' ,HUM,ind 
 'dogs','pull', 'dogs pull' ,'sled','pull sled','dogs sled' ,NUM,count 
 'long','does', 'long does' ,'cocaine','does cocaine','long cocaine' ,NUM,period 
 'what','countries', 'what countries' ,'fought','countries fought','what fought' ,LOC,country 
 'who','us', 'who us' ,'president','us president','who president' ,HUM,ind 
 'dates','does', 'dates does' ,'running','does running','dates running' ,NUM,date 
 'what','lawyer', 'what lawyer' ,'who','lawyer who','what who' ,HUM,ind 
 'what','actress', 'what actress' ,'is','actress is','what is' ,HUM,ind 
 'colors','1940s', 'colors 1940s' ,'collectible','1940s collectible','colors collectible' ,NUM,count 
 'who','lived', 'who lived' ,'shores','lived shores','who shores' ,HUM,ind 
 'what','country', 'what country' ,'hit','country hit','what hit' ,LOC,country 
 'who','section', 'who section' ,'manager','section manager','who manager' ,HUM,ind 
 'what','goldfinger', 'what goldfinger' ,'is','goldfinger is','what is' ,HUM,ind 
 'what','square', 'what square' ,'geographical','square geographical','what geographical' ,LOC,other 
 'following','famous', 'following famous' ,'people','famous people','following people' ,HUM,ind 
 'what','populated', 'what populated' ,'city','populated city','what city' ,LOC,city 
 'pitchers','occupy', 'pitchers occupy' ,'shelf','occupy shelf','pitchers shelf' ,NUM,count 
 'what','cost', 'what cost' ,'drugs','cost drugs','what drugs' ,NUM,money 
 'where','did', 'where did' ,'victor','did victor','where victor' ,LOC,other 
 'who','i', 'who i' ,'tour','i tour','who tour' ,HUM,ind 
 'airline','schools', 'airline schools' ,'us','schools us','airline us' ,NUM,count 
 'what','us', 'what us' ,'general','us general','what general' ,HUM,ind 
 'major','nazi', 'major nazi' ,'leaders','nazi leaders','major leaders' ,NUM,count 
 'what','state', 'what state' ,'did','state did','what did' ,LOC,state 
 'what','director', 'what director' ,'movie','director movie','what movie' ,HUM,ind 
 'what','year', 'what year' ,'etched','year etched','what etched' ,NUM,date 
 'what','country', 'what country' ,'is','country is','what is' ,LOC,country 
 'who','portrayed', 'who portrayed' ,'wc','portrayed wc','who wc' ,HUM,ind 
 'money','does', 'money does' ,'sultan','does sultan','money sultan' ,NUM,money 
 'what','country', 'what country' ,'visit','country visit','what visit' ,LOC,country 
 'what','month', 'what month' ,'is','month is','what is' ,NUM,date 
 'who','built', 'who built' ,'successful','built successful','who successful' ,HUM,ind 
 'who','hitler', 'who hitler' ,'is','hitler is','who is' ,HUM,ind 
 'who','doctor', 'who doctor' ,'successfully','doctor successfully','who successfully' ,HUM,ind 
 'what','african', 'what african' ,'capital','african capital','what capital' ,LOC,city 
 'what','mediterranean', 'what mediterranean' ,'island','mediterranean island','what island' ,LOC,other 
 'where','venus', 'where venus' ,'flytrap','venus flytrap','where flytrap' ,LOC,other 
 'when','john', 'when john' ,'d','john d','when d' ,NUM,date 
 'what','building', 'what building' ,'built','building built','what built' ,LOC,other 
 'who','lawyer', 'who lawyer' ,'randy','lawyer randy','who randy' ,HUM,ind 
 'who','reputed', 'who reputed' ,'greatest','reputed greatest','who greatest' ,HUM,ind 
 'what','future', 'what future' ,'soviet','future soviet','what soviet' ,HUM,ind 
 'long','does', 'long does' ,'james','does james','long james' ,NUM,period 
 'what','us', 'what us' ,'city','us city','what city' ,LOC,city 
 'where','belize', 'where belize' ,'located','belize located','where located' ,LOC,other 
 'who','sued', 'who sued' ,'dannon','sued dannon','who dannon' ,HUM,ind 
 'who','jockey', 'who jockey' ,'ride','jockey ride','who ride' ,HUM,ind 
 'who','wrote', 'who wrote' ,'brave','wrote brave','who brave' ,HUM,ind 
 'what','state', 'what state' ,'does','state does','what does' ,LOC,state 
 'people','taller', 'people taller' ,'7','taller 7','people 7' ,NUM,count 
 'who','wrote', 'who wrote' ,'unsafe','wrote unsafe','who unsafe' ,HUM,ind 
 'islands','make', 'islands make' ,'antigua','make antigua','islands antigua' ,NUM,count 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'what','british', 'what british' ,'commander','british commander','what commander' ,HUM,ind 
 'who','created', 'who created' ,'world','created world','who world' ,HUM,ind 
 'what','president', 'what president' ,'garmat','president garmat','what garmat' ,HUM,ind 
 'who','leaders', 'who leaders' ,'byzantine','leaders byzantine','who byzantine' ,HUM,ind 
 'who','president', 'who president' ,'appoint','president appoint','who appoint' ,HUM,ind 
 'what','southeast', 'what southeast' ,'asian','southeast asian','what asian' ,LOC,country 
 'what','italian', 'what italian' ,'city','italian city','what city' ,LOC,city 
 'what','largest', 'what largest' ,'city','largest city','what city' ,LOC,city 
 'what','ratio', 'what ratio' ,'children','ratio children','what children' ,NUM,perc 
 'visitors','vatican', 'visitors vatican' ,'year','vatican year','visitors year' ,NUM,count 
 'what','population', 'what population' ,'mexico','population mexico','what mexico' ,NUM,other 
 'what','best', 'what best' ,'online','best online','what online' ,LOC,other 
 'what','century', 'what century' ,'did','century did','what did' ,NUM,date 
 'spaces','follow', 'spaces follow' ,'period','follow period','spaces period' ,NUM,count 
 'what','year', 'what year' ,'berlin','year berlin','what berlin' ,NUM,date 
 'what','weight', 'what weight' ,'teaspoon','weight teaspoon','what teaspoon' ,NUM,weight 
 'what','approximate', 'what approximate' ,'weight','approximate weight','what weight' ,NUM,weight 
 'what','avenue', 'what avenue' ,'original','avenue original','what original' ,LOC,other 
 'where','does', 'where does' ,'song','does song','where song' ,LOC,other 
 'where','zoo', 'where zoo' ,'us','zoo us','where us' ,LOC,other 
 'far','yaroslavl', 'far yaroslavl' ,'moscow','yaroslavl moscow','far moscow' ,NUM,dist 
 'what','present', 'what present' ,'pope','present pope','what pope' ,HUM,ind 
 'who','nebbish', 'who nebbish' ,'marvel','nebbish marvel','who marvel' ,HUM,ind 
 'who','sang', 'who sang' ,'song','sang song','who song' ,HUM,ind 
 'approximately','does', 'approximately does' ,'teaspoon','does teaspoon','approximately teaspoon' ,NUM,weight 
 'what','country', 'what country' ,'is','country is','what is' ,LOC,country 
 'who','columbia', 'who columbia' ,'pictures','columbia pictures','who pictures' ,HUM,ind 
 'dondi','is', 'dondi is' ,'adoptive','is adoptive','dondi adoptive' ,HUM,ind 
 'when','congress', 'when congress' ,'vienna','congress vienna','when vienna' ,NUM,date 
 'folic','acid', 'folic acid' ,'pregnant','acid pregnant','folic pregnant' ,NUM,count 
 'what','year', 'what year' ,'automobile','year automobile','what automobile' ,NUM,date 
 'colonies','did', 'colonies did' ,'germany','did germany','colonies germany' ,NUM,count 
 'states','a', 'states a' ,'','a ','states ' ,NUM,count 
 'biography','maurice', 'biography maurice' ,'zolotow','maurice zolotow','biography zolotow' ,HUM,ind 
 'movie','groundshog', 'movie groundshog' ,'day','groundshog day','movie day' ,HUM,ind 
 'old','benny', 'old benny' ,'carter','benny carter','old carter' ,NUM,period 
 'where','i', 'where i' ,'read','i read','where read' ,LOC,other 
 'what','country', 'what country' ,'borders','country borders','what borders' ,LOC,country 
 'what','river', 'what river' ,'runs','river runs','what runs' ,LOC,other 
 'who','american', 'who american' ,'citizen','american citizen','who citizen' ,HUM,ind 
 'what','doctor', 'what doctor' ,'synonymous','doctor synonymous','what synonymous' ,HUM,ind 
 'what','shoe', 'what shoe' ,'sizes','shoe sizes','what sizes' ,NUM,other 
 'who','founded', 'who founded' ,'unification','founded unification','who unification' ,HUM,ind 
 'what','statistics', 'what statistics' ,'drunken','statistics drunken','what drunken' ,NUM,other 
 'what','ill-fated', 'what ill-fated' ,'american','ill-fated american','what american' ,HUM,ind 
 'what','is', 'what is' ,'score','is score','what score' ,NUM,other 
 'where','does', 'where does' ,'tuberculosis','does tuberculosis','where tuberculosis' ,LOC,other 
 'who','invented', 'who invented' ,'lawnmower','invented lawnmower','who lawnmower' ,HUM,ind 
 'where','i', 'where i' ,'lyrics','i lyrics','where lyrics' ,LOC,other 
 'what','us', 'what us' ,'senator','us senator','what senator' ,HUM,ind 
 'what','li', 'what li' ,'l','li l','what l' ,HUM,ind 
 'liberty','bells', 'liberty bells' ,'been','bells been','liberty been' ,NUM,count 
 'what','countries', 'what countries' ,'separated','countries separated','what separated' ,LOC,country 
 'jackson','pollock', 'jackson pollock' ,'what','pollock what','jackson what' ,LOC,country 
 'what','architect', 'what architect' ,'originated','architect originated','what originated' ,HUM,ind 
 'russians','landed', 'russians landed' ,'moon','landed moon','russians moon' ,NUM,count 
 'when','franklin', 'when franklin' ,'d','franklin d','when d' ,NUM,date 
 'where','internet', 'where internet' ,'i','internet i','where i' ,LOC,other 
 'what','country', 'what country' ,'put','country put','what put' ,LOC,country 
 'who','shared', 'who shared' ,'new','shared new','who new' ,HUM,ind 
 'what','prison', 'what prison' ,'ossining','prison ossining','what ossining' ,LOC,other 
 'what','country', 'what country' ,'declared','country declared','what declared' ,LOC,country 
 'who','director', 'who director' ,'intergovernmental','director intergovernmental','who intergovernmental' ,HUM,ind 
 'what','hall', 'what hall' ,'fame','hall fame','what fame' ,HUM,ind 
 'what','longest', 'what longest' ,'river','longest river','what river' ,LOC,other 
 'what','river', 'what river' ,'windsor','river windsor','what windsor' ,LOC,other 
 'where','natchitoches', 'where natchitoches' ,'','natchitoches ','where ' ,LOC,other 
 'what','greek', 'what greek' ,'god','greek god','what god' ,HUM,ind 
 'what','is', 'what is' ,'capital','is capital','what capital' ,LOC,city 
 'what','starting', 'what starting' ,'salary','starting salary','what salary' ,NUM,money 
 'what','man', 'what man' ,'is','man is','what is' ,HUM,ind 
 'what','california', 'what california' ,'gas','california gas','what gas' ,NUM,money 
 'what','city', 'what city' ,'served','city served','what served' ,LOC,city 
 'who','directed', 'who directed' ,'woody','directed woody','who woody' ,HUM,ind 
 'what','historical', 'what historical' ,'figures','historical figures','what figures' ,HUM,ind 
 'where','united', 'where united' ,'states','united states','where states' ,LOC,other 
 'what','country', 'what country' ,'1998','country 1998','what 1998' ,LOC,country 
 'what','price', 'what price' ,'tuberculosis','price tuberculosis','what tuberculosis' ,NUM,money 
 'what','minimum', 'what minimum' ,'wage','minimum wage','what wage' ,NUM,money 
 'people','lived', 'people lived' ,'nebraska','lived nebraska','people nebraska' ,NUM,count 
 'what','year', 'what year' ,'janet','year janet','what janet' ,NUM,date 
 'heroine','in', 'heroine in' ,'','in ','heroine ' ,HUM,ind 
 'movies','drew', 'movies drew' ,'barrymore','drew barrymore','movies barrymore' ,NUM,count 
 'what','tv', 'what tv' ,'character','tv character','what character' ,HUM,ind 
 'what','planet', 'what planet' ,'ewoks','planet ewoks','what ewoks' ,LOC,other 
 'what','baseball', 'what baseball' ,'player','baseball player','what player' ,HUM,ind 
 'who','killed', 'who killed' ,'lee','killed lee','who lee' ,HUM,ind 
 'who','invented', 'who invented' ,'fax','invented fax','who fax' ,HUM,ind 
 'wide','atlantic', 'wide atlantic' ,'ocean','atlantic ocean','wide ocean' ,NUM,dist 
 'who','wrote', 'who wrote' ,'poem','wrote poem','who poem' ,HUM,ind 
 'what','singer', 'what singer' ,'is','singer is','what is' ,HUM,ind 
 'soldiers','died', 'soldiers died' ,'world','died world','soldiers world' ,NUM,count 
 'who','rocky', 'who rocky' ,'is','rocky is','who is' ,HUM,ind 
 'who','thought', 'who thought' ,'he','thought he','who he' ,HUM,ind 
 'who','created', 'who created' ,'','created ','who ' ,HUM,ind 
 'what','celestial', 'what celestial' ,'body','celestial body','what body' ,LOC,other 
 'major','gods', 'major gods' ,'hinduism','gods hinduism','major hinduism' ,HUM,ind 
 'what','country', 'what country' ,'borders','country borders','what borders' ,LOC,country 
 'what','biochemists', 'what biochemists' ,'won','biochemists won','what won' ,HUM,ind 
 'where','answers', 'where answers' ,'questions','answers questions','where questions' ,LOC,other 
 'neurons','human', 'neurons human' ,'brain','human brain','neurons brain' ,NUM,count 
 'what','city', 'what city' ,'is','city is','what is' ,LOC,city 
 'what','city', 'what city' ,'bobby','city bobby','what bobby' ,LOC,city 
 'what','london', 'what london' ,'museum','london museum','what museum' ,LOC,other 
 'what','city', 'what city' ,'served','city served','what served' ,LOC,city 
 'who','considered', 'who considered' ,'role','considered role','who role' ,HUM,ind 
 'long','does', 'long does' ,'fly','does fly','long fly' ,NUM,period 
 'what','folic', 'what folic' ,'acid','folic acid','what acid' ,NUM,other 
 'who','king', 'who king' ,'who','king who','who who' ,HUM,ind 
 'miles','frankfurt', 'miles frankfurt' ,'','frankfurt ','miles ' ,NUM,count 
 'chairs','shown', 'chairs shown' ,'vincent','shown vincent','chairs vincent' ,NUM,count 
 'what','state', 'what state' ,'gulf','state gulf','what gulf' ,LOC,state 
 'where','i', 'where i' ,'case','i case','where case' ,LOC,other 
 'who','leader', 'who leader' ,'india','leader india','who india' ,HUM,ind 
 'who','prophet', 'who prophet' ,'connected','prophet connected','who connected' ,HUM,ind 
 'what','chances', 'what chances' ,'pregnacy','chances pregnacy','what pregnacy' ,NUM,perc 
 'where','keck', 'where keck' ,'telescope','keck telescope','where telescope' ,LOC,other 
 'where','apartments', 'where apartments' ,'saint','apartments saint','where saint' ,LOC,other 
 'who','wrote', 'who wrote' ,'','wrote ','who ' ,HUM,ind 
 'what','country', 'what country' ,'did','country did','what did' ,LOC,country 
 'what','good', 'what good' ,'medical','good medical','what medical' ,LOC,other 
 'who','incredible', 'who incredible' ,'hulk','incredible hulk','who hulk' ,HUM,ind 
 'what','month', 'what month' ,'did','month did','what did' ,NUM,date 
 'who','presidents', 'who presidents' ,'mexico','presidents mexico','who mexico' ,HUM,ind 
 'who','played', 'who played' ,'al','played al','who al' ,HUM,ind 
 'where','196', 'where 196' ,'summer','196 summer','where summer' ,LOC,other 
 'where','los', 'where los' ,'vegas','los vegas','where vegas' ,LOC,other 
 'country','honecker', 'country honecker' ,'lived','honecker lived','country lived' ,LOC,country 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'what','safest', 'what safest' ,'american','safest american','what american' ,LOC,city 
 'what','tv', 'what tv' ,'detective','tv detective','what detective' ,HUM,ind 
 'where','i', 'where i' ,'picture','i picture','where picture' ,LOC,other 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'past','8', 'past 8' ,'years','8 years','past years' ,HUM,ind 
 'who','played', 'who played' ,'emperor','played emperor','who emperor' ,HUM,ind 
 'what','is', 'what is' ,'wilkes','is wilkes','what wilkes' ,LOC,other 
 'where','statistical', 'where statistical' ,'abstract','statistical abstract','where abstract' ,LOC,other 
 'when','brandenburg', 'when brandenburg' ,'gate','brandenburg gate','when gate' ,NUM,date 
 'husbands','included', 'husbands included' ,'conrad','included conrad','husbands conrad' ,HUM,ind 
 'who','king', 'who king' ,'alley','king alley','who alley' ,HUM,ind 
 'silver','production', 'silver production' ,'manufactured','production manufactured','silver manufactured' ,NUM,count 
 'what','percentage', 'what percentage' ,'silver','percentage silver','what silver' ,NUM,perc 
 'what','date', 'what date' ,'boxing','date boxing','what boxing' ,NUM,date 
 'inches','tall', 'inches tall' ,'stuart','tall stuart','inches stuart' ,NUM,count 
 'stradivarius','violins', 'stradivarius violins' ,'made','violins made','stradivarius made' ,NUM,count 
 'who','invented', 'who invented' ,'stock','invented stock','who stock' ,HUM,ind 
 'what','einstein', 'what einstein' ,'is','einstein is','what is' ,LOC,other 
 'what','century', 'what century' ,'is','century is','what is' ,NUM,date 
 'who','wrote', 'who wrote' ,'bible','wrote bible','who bible' ,HUM,ind 
 'what','debts', 'what debts' ,'did','debts did','what did' ,NUM,money 
 'us','president', 'us president' ,'buried','president buried','us buried' ,HUM,ind 
